resume_id,name,job_title,skills,education,experience_years,projects,certifications,resume_text
RES_0000,Candidate_0,Software Engineer,"['SQL', 'Agile', 'Git']",Master's in Engineering,3,['Project_0_0'],[],"Name: Candidate_0
            Target Position: Software Engineer
            Summary: Experienced professional with 3 years in the tech industry.
            Skills: SQL, Agile, Git
            Education: Master's in Engineering
            Experience: 3 years
            Projects: Project_0_0
            Certifications: None"
RES_0001,Candidate_1,Data Scientist,"['SQL', 'Docker', 'Agile', 'GraphQL']",Master's in Statistics,15,"['Project_0_1', 'Project_1_1', 'Project_2_1', 'Project_3_1']",['PMP'],"Name: Candidate_1
            Target Position: Data Scientist
            Summary: Experienced professional with 15 years in the tech industry.
            Skills: SQL, Docker, Agile, GraphQL
            Education: Master's in Statistics
            Experience: 15 years
            Projects: Project_0_1, Project_1_1, Project_2_1, Project_3_1
            Certifications: PMP"
RES_0002,Candidate_2,Software Engineer,"['PyTorch', 'Git', 'PostgreSQL', 'REST APIs']",PhD in Mathematics,9,"['Project_0_2', 'Project_1_2']",['Google Cloud Certified'],"Name: Candidate_2
            Target Position: Software Engineer
            Summary: Experienced professional with 9 years in the tech industry.
            Skills: PyTorch, Git, PostgreSQL, REST APIs
            Education: PhD in Mathematics
            Experience: 9 years
            Projects: Project_0_2, Project_1_2
            Certifications: Google Cloud Certified"
RES_0003,Candidate_3,UX Designer,"['REST APIs', 'Python', 'GraphQL', 'PyTorch', 'AWS', 'SQL', 'Node.js', 'PostgreSQL']",Master's in Computer Science,1,"['Project_0_3', 'Project_1_3']",[],"Name: Candidate_3
            Target Position: UX Designer
            Summary: Experienced professional with 1 years in the tech industry.
            Skills: REST APIs, Python, GraphQL, PyTorch, AWS, SQL, Node.js, PostgreSQL
            Education: Master's in Computer Science
            Experience: 1 years
            Projects: Project_0_3, Project_1_3
            Certifications: None"
RES_0004,Candidate_4,Business Analyst,"['CI/CD', 'SQL', 'REST APIs', 'React', 'Agile', 'GraphQL', 'PyTorch', 'TensorFlow']",Master's in Mathematics,3,"['Project_0_4', 'Project_1_4', 'Project_2_4', 'Project_3_4']",[],"Name: Candidate_4
            Target Position: Business Analyst
            Summary: Experienced professional with 3 years in the tech industry.
            Skills: CI/CD, SQL, REST APIs, React, Agile, GraphQL, PyTorch, TensorFlow
            Education: Master's in Mathematics
            Experience: 3 years
            Projects: Project_0_4, Project_1_4, Project_2_4, Project_3_4
            Certifications: None"
RES_0005,Candidate_5,UX Designer,"['MongoDB', 'AWS', 'NumPy', 'Node.js', 'CI/CD', 'Java']",Bachelor's in Engineering,6,"['Project_0_5', 'Project_1_5']",[],"Name: Candidate_5
            Target Position: UX Designer
            Summary: Experienced professional with 6 years in the tech industry.
            Skills: MongoDB, AWS, NumPy, Node.js, CI/CD, Java
            Education: Bachelor's in Engineering
            Experience: 6 years
            Projects: Project_0_5, Project_1_5
            Certifications: None"
RES_0006,Candidate_6,Frontend Developer,"['Python', 'CI/CD', 'Node.js', 'AWS', 'JavaScript', 'PostgreSQL', 'Kubernetes', 'MongoDB']",Bachelor's in Computer Science,8,"['Project_0_6', 'Project_1_6', 'Project_2_6', 'Project_3_6', 'Project_4_6']",[],"Name: Candidate_6
            Target Position: Frontend Developer
            Summary: Experienced professional with 8 years in the tech industry.
            Skills: Python, CI/CD, Node.js, AWS, JavaScript, PostgreSQL, Kubernetes, MongoDB
            Education: Bachelor's in Computer Science
            Experience: 8 years
            Projects: Project_0_6, Project_1_6, Project_2_6, Project_3_6, Project_4_6
            Certifications: None"
RES_0007,Candidate_7,Frontend Developer,"['Python', 'CI/CD', 'Agile']",Bachelor's in Engineering,1,"['Project_0_7', 'Project_1_7', 'Project_2_7']",[],"Name: Candidate_7
            Target Position: Frontend Developer
            Summary: Experienced professional with 1 years in the tech industry.
            Skills: Python, CI/CD, Agile
            Education: Bachelor's in Engineering
            Experience: 1 years
            Projects: Project_0_7, Project_1_7, Project_2_7
            Certifications: None"
RES_0008,Candidate_8,Frontend Developer,"['MongoDB', 'CI/CD', 'React', 'Agile', 'Kubernetes', 'JavaScript']",Master's in Statistics,12,"['Project_0_8', 'Project_1_8']","['Scrum Master', 'Azure Certified']","Name: Candidate_8
            Target Position: Frontend Developer
            Summary: Experienced professional with 12 years in the tech industry.
            Skills: MongoDB, CI/CD, React, Agile, Kubernetes, JavaScript
            Education: Master's in Statistics
            Experience: 12 years
            Projects: Project_0_8, Project_1_8
            Certifications: Scrum Master, Azure Certified"
RES_0009,Candidate_9,DevOps Engineer,"['React', 'JavaScript', 'PostgreSQL', 'Kubernetes', 'Python', 'SQL', 'Java']",Bachelor's in Mathematics,15,"['Project_0_9', 'Project_1_9', 'Project_2_9']",[],"Name: Candidate_9
            Target Position: DevOps Engineer
            Summary: Experienced professional with 15 years in the tech industry.
            Skills: React, JavaScript, PostgreSQL, Kubernetes, Python, SQL, Java
            Education: Bachelor's in Mathematics
            Experience: 15 years
            Projects: Project_0_9, Project_1_9, Project_2_9
            Certifications: None"
